image1,image1_path,image2,image2_path,similarity
001_d2c7428a.jpg,(datasets/house_styles/all_images/001_d2c7428a.jpg),366_08eff319.jpg,(datasets/house_styles/all_images/366_08eff319.jpg),3
453_d7b5d246.jpg,(datasets/house_styles/all_images/453_d7b5d246.jpg),122_e44a0cb3.jpg,(datasets/house_styles/all_images/122_e44a0cb3.jpg),0.0
116_32f01ef6.jpg,(datasets/house_styles/all_images/116_32f01ef6.jpg),174_55a7b3f9.jpg,(datasets/house_styles/all_images/174_55a7b3f9.jpg),0.0
301_b73b9663.jpg,(datasets/house_styles/all_images/301_b73b9663.jpg),116_32f01ef6.jpg,(datasets/house_styles/all_images/116_32f01ef6.jpg),0.0
042_06b56791.jpg,(datasets/house_styles/all_images/042_06b56791.jpg),069_d3bedc1f.jpg,(datasets/house_styles/all_images/069_d3bedc1f.jpg),1
006_ec7e3943.jpg,(datasets/house_styles/all_images/006_ec7e3943.jpg),026_01045d0b.jpg,(datasets/house_styles/all_images/026_01045d0b.jpg),2
388_aa0bd42a.jpg,(datasets/house_styles/all_images/388_aa0bd42a.jpg),018_7868b4d7.jpg,(datasets/house_styles/all_images/018_7868b4d7.jpg),0.0
447_0ffa8cdd.jpg,(datasets/house_styles/all_images/447_0ffa8cdd.jpg),501_bcd7edcd.jpg,(datasets/house_styles/all_images/501_bcd7edcd.jpg),3
147_4fee2ee1.jpg,(datasets/house_styles/all_images/147_4fee2ee1.jpg),372_396c03a6.jpg,(datasets/house_styles/all_images/372_396c03a6.jpg),1
182_b43618bc.jpg,(datasets/house_styles/all_images/182_b43618bc.jpg),136_9f1a39c1.jpg,(datasets/house_styles/all_images/136_9f1a39c1.jpg),3
470_6e733604.jpg,(datasets/house_styles/all_images/470_6e733604.jpg),073_d9fb51c3.jpg,(datasets/house_styles/all_images/073_d9fb51c3.jpg),0.0
346_e98ba7a9.jpg,(datasets/house_styles/all_images/346_e98ba7a9.jpg),042_06b56791.jpg,(datasets/house_styles/all_images/042_06b56791.jpg),0.0
078_d09c7ede.jpg,(datasets/house_styles/all_images/078_d09c7ede.jpg),082_40db5260.jpg,(datasets/house_styles/all_images/082_40db5260.jpg),2
161_ecee3bf9.jpg,(datasets/house_styles/all_images/161_ecee3bf9.jpg),481_2d314672.jpg,(datasets/house_styles/all_images/481_2d314672.jpg),0.0
020_b90927d1.jpg,(datasets/house_styles/all_images/020_b90927d1.jpg),114_dd2dcd98.jpg,(datasets/house_styles/all_images/114_dd2dcd98.jpg),0.0
356_efd8fc80.jpg,(datasets/house_styles/all_images/356_efd8fc80.jpg),105_decde90f.jpg,(datasets/house_styles/all_images/105_decde90f.jpg),0.0
118_8b40a003.jpg,(datasets/house_styles/all_images/118_8b40a003.jpg),081_21153085.jpg,(datasets/house_styles/all_images/081_21153085.jpg),2
510_95629ee6.jpg,(datasets/house_styles/all_images/510_95629ee6.jpg),135_8c978f4e.jpg,(datasets/house_styles/all_images/135_8c978f4e.jpg),0.0
374_77df1653.jpg,(datasets/house_styles/all_images/374_77df1653.jpg),253_4be9d181.jpg,(datasets/house_styles/all_images/253_4be9d181.jpg),1
109_e1b4cdd0.jpg,(datasets/house_styles/all_images/109_e1b4cdd0.jpg),011_a7b790e1.jpg,(datasets/house_styles/all_images/011_a7b790e1.jpg),0.0
031_a6f9a9fe.jpg,(datasets/house_styles/all_images/031_a6f9a9fe.jpg),073_3528262c.jpg,(datasets/house_styles/all_images/073_3528262c.jpg),2
081_156ea596.jpg,(datasets/house_styles/all_images/081_156ea596.jpg),180_ea16e99b.jpg,(datasets/house_styles/all_images/180_ea16e99b.jpg),2
002_a45d2d3c.jpg,(datasets/house_styles/all_images/002_a45d2d3c.jpg),291_93109531.jpg,(datasets/house_styles/all_images/291_93109531.jpg),2
062_a5891b74.jpg,(datasets/house_styles/all_images/062_a5891b74.jpg),427_31f4d6f2.jpg,(datasets/house_styles/all_images/427_31f4d6f2.jpg),0.0
284_1d326f0c.jpg,(datasets/house_styles/all_images/284_1d326f0c.jpg),049_745f0b5c.jpg,(datasets/house_styles/all_images/049_745f0b5c.jpg),3
260_ff34f4ba.jpg,(datasets/house_styles/all_images/260_ff34f4ba.jpg),402_edb89d69.jpg,(datasets/house_styles/all_images/402_edb89d69.jpg),2
372_396c03a6.jpg,(datasets/house_styles/all_images/372_396c03a6.jpg),160_392e08da.jpg,(datasets/house_styles/all_images/160_392e08da.jpg),0.0
073_3528262c.jpg,(datasets/house_styles/all_images/073_3528262c.jpg),035_6e7ff66b.jpg,(datasets/house_styles/all_images/035_6e7ff66b.jpg),0.0
467_834e3436.jpg,(datasets/house_styles/all_images/467_834e3436.jpg),155_245ae247.jpg,(datasets/house_styles/all_images/155_245ae247.jpg),0.0
202_698495e0.jpg,(datasets/house_styles/all_images/202_698495e0.jpg),301_b73b9663.jpg,(datasets/house_styles/all_images/301_b73b9663.jpg),3
125_4eba27a5.jpg,(datasets/house_styles/all_images/125_4eba27a5.jpg),107_01540c65.jpg,(datasets/house_styles/all_images/107_01540c65.jpg),0.0
202_698495e0.jpg,(datasets/house_styles/all_images/202_698495e0.jpg),044_868201d6.jpg,(datasets/house_styles/all_images/044_868201d6.jpg),0.0
011_a7b790e1.jpg,(datasets/house_styles/all_images/011_a7b790e1.jpg),186_864572c2.jpg,(datasets/house_styles/all_images/186_864572c2.jpg),1
299_6f2be194.jpg,(datasets/house_styles/all_images/299_6f2be194.jpg),301_3ae75cf5.jpg,(datasets/house_styles/all_images/301_3ae75cf5.jpg),0.0
384_7bba4266.jpg,(datasets/house_styles/all_images/384_7bba4266.jpg),236_1c4cda1e.jpg,(datasets/house_styles/all_images/236_1c4cda1e.jpg),0.0
205_0ec9560b.jpg,(datasets/house_styles/all_images/205_0ec9560b.jpg),114_dd2dcd98.jpg,(datasets/house_styles/all_images/114_dd2dcd98.jpg),0.0
270_b478d734.jpg,(datasets/house_styles/all_images/270_b478d734.jpg),175_d61edc30.jpg,(datasets/house_styles/all_images/175_d61edc30.jpg),1
453_d7b5d246.jpg,(datasets/house_styles/all_images/453_d7b5d246.jpg),399_33c5d6dd.jpg,(datasets/house_styles/all_images/399_33c5d6dd.jpg),0.0
339_56fe58fd.jpg,(datasets/house_styles/all_images/339_56fe58fd.jpg),061_b65cd27e.jpg,(datasets/house_styles/all_images/061_b65cd27e.jpg),0.0
014_459a0075.jpg,(datasets/house_styles/all_images/014_459a0075.jpg),058_a50b945b.jpg,(datasets/house_styles/all_images/058_a50b945b.jpg),0.0
068_b5fe6a9b.jpg,(datasets/house_styles/all_images/068_b5fe6a9b.jpg),485_1c18da79.jpg,(datasets/house_styles/all_images/485_1c18da79.jpg),2
113_a877aa66.jpg,(datasets/house_styles/all_images/113_a877aa66.jpg),159_7b4fd689.jpg,(datasets/house_styles/all_images/159_7b4fd689.jpg),1
247_7ebd437b.jpg,(datasets/house_styles/all_images/247_7ebd437b.jpg),324_b65d6469.jpg,(datasets/house_styles/all_images/324_b65d6469.jpg),1
136_976f1a71.jpg,(datasets/house_styles/all_images/136_976f1a71.jpg),203_686226e0.jpg,(datasets/house_styles/all_images/203_686226e0.jpg),1
215_23b53307.jpg,(datasets/house_styles/all_images/215_23b53307.jpg),026_01045d0b.jpg,(datasets/house_styles/all_images/026_01045d0b.jpg),0.0
443_c3788bc5.jpg,(datasets/house_styles/all_images/443_c3788bc5.jpg),026_312b7c51.jpg,(datasets/house_styles/all_images/026_312b7c51.jpg),3
336_8af43ef3.jpg,(datasets/house_styles/all_images/336_8af43ef3.jpg),360_28ef686b.jpg,(datasets/house_styles/all_images/360_28ef686b.jpg),1
382_baa9260f.jpg,(datasets/house_styles/all_images/382_baa9260f.jpg),011_a7b790e1.jpg,(datasets/house_styles/all_images/011_a7b790e1.jpg),0.0
