image1,image1_path,image2,image2_path,distance,confidence,similarity
133_91a1133a.jpg,(datasets/house_styles/all_images/133_91a1133a.jpg),023_5efdbc2d.jpg,(datasets/house_styles/all_images/023_5efdbc2d.jpg),1.0001,0.0001,
229_f79304e9.jpg,(datasets/house_styles/all_images/229_f79304e9.jpg),415_4b0724cb.jpg,(datasets/house_styles/all_images/415_4b0724cb.jpg),0.9996,0.0004,
163_de1fdac4.jpg,(datasets/house_styles/all_images/163_de1fdac4.jpg),206_08d285c6.jpg,(datasets/house_styles/all_images/206_08d285c6.jpg),0.9995,0.0005,
294_f336ba11.jpg,(datasets/house_styles/all_images/294_f336ba11.jpg),175_9c8306c2.jpg,(datasets/house_styles/all_images/175_9c8306c2.jpg),0.9994,0.0006,
052_f4f97004.jpg,(datasets/house_styles/all_images/052_f4f97004.jpg),194_a66427af.jpg,(datasets/house_styles/all_images/194_a66427af.jpg),1.0006,0.0006,
048_0a8b5dde.jpg,(datasets/house_styles/all_images/048_0a8b5dde.jpg),035_7b4de4fd.jpg,(datasets/house_styles/all_images/035_7b4de4fd.jpg),1.0007,0.0007,
156_55935f6b.jpg,(datasets/house_styles/all_images/156_55935f6b.jpg),035_6e7ff66b.jpg,(datasets/house_styles/all_images/035_6e7ff66b.jpg),0.9993,0.0007,
128_841a4e49.jpg,(datasets/house_styles/all_images/128_841a4e49.jpg),212_aea88577.jpg,(datasets/house_styles/all_images/212_aea88577.jpg),1.0013,0.0013,
257_f1b4cd5b.jpg,(datasets/house_styles/all_images/257_f1b4cd5b.jpg),190_48347536.jpg,(datasets/house_styles/all_images/190_48347536.jpg),0.9987,0.0013,
168_84d91ee2.jpg,(datasets/house_styles/all_images/168_84d91ee2.jpg),075_7b7e25b1.jpg,(datasets/house_styles/all_images/075_7b7e25b1.jpg),1.0016,0.0016,
004_7a46c013.jpg,(datasets/house_styles/all_images/004_7a46c013.jpg),453_d7b5d246.jpg,(datasets/house_styles/all_images/453_d7b5d246.jpg),1.0017,0.0017,
349_60f37449.jpg,(datasets/house_styles/all_images/349_60f37449.jpg),100_b2a006af.jpg,(datasets/house_styles/all_images/100_b2a006af.jpg),1.0025,0.0025,
081_156ea596.jpg,(datasets/house_styles/all_images/081_156ea596.jpg),206_08d285c6.jpg,(datasets/house_styles/all_images/206_08d285c6.jpg),0.9974,0.0026,
350_ff091a99.jpg,(datasets/house_styles/all_images/350_ff091a99.jpg),014_459a0075.jpg,(datasets/house_styles/all_images/014_459a0075.jpg),1.0027,0.0027,
180_ea16e99b.jpg,(datasets/house_styles/all_images/180_ea16e99b.jpg),156_55935f6b.jpg,(datasets/house_styles/all_images/156_55935f6b.jpg),0.9973,0.0027,
167_65150acf.jpg,(datasets/house_styles/all_images/167_65150acf.jpg),229_f79304e9.jpg,(datasets/house_styles/all_images/229_f79304e9.jpg),0.9967,0.0033,
523_4d21f920.jpg,(datasets/house_styles/all_images/523_4d21f920.jpg),360_96bf2f72.jpg,(datasets/house_styles/all_images/360_96bf2f72.jpg),1.0033,0.0033,
086_80f8f853.jpg,(datasets/house_styles/all_images/086_80f8f853.jpg),216_8570669c.jpg,(datasets/house_styles/all_images/216_8570669c.jpg),0.9966,0.0034,
039_31ff85ea.jpg,(datasets/house_styles/all_images/039_31ff85ea.jpg),130_3436e91b.jpg,(datasets/house_styles/all_images/130_3436e91b.jpg),0.9965,0.0035,
262_8a21b6d1.jpg,(datasets/house_styles/all_images/262_8a21b6d1.jpg),360_96bf2f72.jpg,(datasets/house_styles/all_images/360_96bf2f72.jpg),0.9965,0.0035,
181_7a55eb4a.jpg,(datasets/house_styles/all_images/181_7a55eb4a.jpg),040_6ddfd3e7.jpg,(datasets/house_styles/all_images/040_6ddfd3e7.jpg),1.0036,0.0036,
039_31ff85ea.jpg,(datasets/house_styles/all_images/039_31ff85ea.jpg),009_f852438c.jpg,(datasets/house_styles/all_images/009_f852438c.jpg),0.9963,0.0037,
317_256ee017.jpg,(datasets/house_styles/all_images/317_256ee017.jpg),005_dbecd9c4.jpg,(datasets/house_styles/all_images/005_dbecd9c4.jpg),0.9963,0.0037,
244_6d833b6a.jpg,(datasets/house_styles/all_images/244_6d833b6a.jpg),078_9e2d5f02.jpg,(datasets/house_styles/all_images/078_9e2d5f02.jpg),0.9962,0.0038,
172_f807dd8b.jpg,(datasets/house_styles/all_images/172_f807dd8b.jpg),147_579b3c29.jpg,(datasets/house_styles/all_images/147_579b3c29.jpg),1.0039,0.0039,
163_de1fdac4.jpg,(datasets/house_styles/all_images/163_de1fdac4.jpg),194_a66427af.jpg,(datasets/house_styles/all_images/194_a66427af.jpg),1.0041,0.0041,
