query_image,query_image_path,retrieved_image,retrieved_image_path,similarity
109_9fb25602.jpg,(datasets/house_styles/all_images/109_9fb25602.jpg),155_245ae247.jpg,(datasets/house_styles/all_images/155_245ae247.jpg),2
109_9fb25602.jpg,(datasets/house_styles/all_images/109_9fb25602.jpg),124_2360e50d.jpg,(datasets/house_styles/all_images/124_2360e50d.jpg),3
109_9fb25602.jpg,(datasets/house_styles/all_images/109_9fb25602.jpg),047_9a90d884.jpg,(datasets/house_styles/all_images/047_9a90d884.jpg),1
109_9fb25602.jpg,(datasets/house_styles/all_images/109_9fb25602.jpg),014_716b3285.jpg,(datasets/house_styles/all_images/014_716b3285.jpg),2
109_9fb25602.jpg,(datasets/house_styles/all_images/109_9fb25602.jpg),016_7a2d2615.jpg,(datasets/house_styles/all_images/016_7a2d2615.jpg),2
204_c24a248a.jpg,(datasets/house_styles/all_images/204_c24a248a.jpg),084_dae155bc.jpg,(datasets/house_styles/all_images/084_dae155bc.jpg),0.0
204_c24a248a.jpg,(datasets/house_styles/all_images/204_c24a248a.jpg),006_ec7e3943.jpg,(datasets/house_styles/all_images/006_ec7e3943.jpg),3
204_c24a248a.jpg,(datasets/house_styles/all_images/204_c24a248a.jpg),069_3a6f2b43.jpg,(datasets/house_styles/all_images/069_3a6f2b43.jpg),0.0
204_c24a248a.jpg,(datasets/house_styles/all_images/204_c24a248a.jpg),094_0a543599.jpg,(datasets/house_styles/all_images/094_0a543599.jpg),2
204_c24a248a.jpg,(datasets/house_styles/all_images/204_c24a248a.jpg),180_ea16e99b.jpg,(datasets/house_styles/all_images/180_ea16e99b.jpg),1
306_26da3db8.jpg,(datasets/house_styles/all_images/306_26da3db8.jpg),007_f2954e4e.jpg,(datasets/house_styles/all_images/007_f2954e4e.jpg),0.0
306_26da3db8.jpg,(datasets/house_styles/all_images/306_26da3db8.jpg),241_0a49bf59.jpg,(datasets/house_styles/all_images/241_0a49bf59.jpg),1
306_26da3db8.jpg,(datasets/house_styles/all_images/306_26da3db8.jpg),483_19142d94.jpg,(datasets/house_styles/all_images/483_19142d94.jpg),0.0
306_26da3db8.jpg,(datasets/house_styles/all_images/306_26da3db8.jpg),037_326d0815.jpg,(datasets/house_styles/all_images/037_326d0815.jpg),0.0
306_26da3db8.jpg,(datasets/house_styles/all_images/306_26da3db8.jpg),175_9c8306c2.jpg,(datasets/house_styles/all_images/175_9c8306c2.jpg),1
202_698495e0.jpg,(datasets/house_styles/all_images/202_698495e0.jpg),168_84d91ee2.jpg,(datasets/house_styles/all_images/168_84d91ee2.jpg),3
